Come funzioni?,About
Cosa puoi fare?,About
Che funzioni hai?,About
Dimmi cosa puoi fare,About
Cosa posso fare?,About
Buongiorno,greetings
Hi,greetings
Bella,greetings
Ciao,greetings
Bonjour,greetings
Caio come va?,greetings
Hello,greetings
Hey,greetings
Descivimi,info
info,info
Informazioni,info
Descrizioni,info
Cos'é,info
Parlami,info
Dammi informazioni,info
Piú informazioni,info
Ultime uscite,latest
Cos'é uscito di nuovo?,latest
Cosa c'é di nuovo,latest
latest,latest
Fammi vedere il trailer,trailer
trailer,trailer
Cosa dovrei vedere,trending
Cosa potrei guardare,trending
Cosa mi consigli,trending
trend,trending
Consigliami un anime,trending
Consigliami qualcosa,trending
Cosa dovrei guardare,trending
Un consiglio?,trending
